501_125128_000000_000000	Chapter 15	Chapter fifteen	false	2.73	28.84	21.002176
501_125128_000139_000000	'Where were you then, old lady?'	'Where were you then, old lady?'	true	1827.89	1829.56	20.439016
501_125128_000140_000000	'Here, at the chest.	'Here, at the chest.	true	1830.08	1831.6	23.402237
501_125128_000140_000001	Well; I got the better of it, and went on sorting, and went on singing to myself.	Well; I got the better of it, and went on sorting, and went on singing to myself.	true	1832	1837	20.278124
501_125128_000140_000002	"Lor!" I says, "I'll think of something else--something comfortable--and put it out of my head." So I thought of the new house and Miss Bella Wilfer, and was thinking at a great rate with that sheet there in my hand, when all of a sudden, the faces seemed to be hidden in among the folds of it and I let it drop.'	"Lor!" I says, "I'll think of something else-something comfortable-and put it out of my head." So I thought of the new house and Miss Bella Wilfer, and was thinking at a great rate with that sheet there in my hand, when all of a sudden, the faces seemed to be hidden in among the folds of it and I let it drop.'	true	1837.28	1855.3	21.155256
501_125128_000141_000000	As it still lay on the floor where it had fallen, Mr Boffin picked it up and laid it on the chest.	As it still lay on the floor where it had fallen, Mr Boffin picked it up and laid it on the chest.	false	1855.97	1861.48	21.884405
501_125128_000142_000000	'And then you ran down stairs?'	'And then you ran down stairs?'	true	1861.73	1863.36	15
501_125128_000143_000000	'No.	'no	false	1863.36	1865.22	15.925656
501_125128_000143_000001	I thought I'd try another room, and shake it off.	I thought I'd try another room, and shake it off.	true	1865.22	1867.75	23.243002
501_125128_000143_000002	I says to myself, "I'll go and walk slowly up and down the old man's room three times, from end to end, and then I shall have conquered it." I went in with the candle in my hand; but the moment I came near the bed, the air got thick with them.'	I says to myself, "I'll go and walk slowly up and down the old man's room three times, from end to end, and then I shall have conquered it." I went in with the candle in my hand; but the moment I came near the bed, the air got thick with them.'	false	1867.94	1882.21	22.442114
501_125128_000144_000000	'With the faces?'	'With the faces?'	true	1882.7	1883.92	22.09914
501_125128_000145_000000	'Yes, and I even felt that they were in the dark behind the side-door, and on the little staircase, floating away into the yard.	'Yes, and I even felt that they were in the dark behind the side door, and on the little staircase, floating away into the yard.	true	1884.68	1891.81	21.99227
501_125128_000145_000001	Then, I called you.'	Then, I called you.'	true	1892.12	1893.55	19.241447
501_125128_000146_000000	Mr Boffin, lost in amazement, looked at Mrs Boffin.	Mr Boffin, lost in amazement, looked at Mrs Boffin.	true	1894.43	1897.81	22.262714
501_125128_000146_000001	Mrs Boffin, lost in her own fluttered inability to make this out, looked at Mr Boffin.	Mrs Boffin, lost in her own fluttered inability to make this out, looked at Mr Boffin.	true	1898.21	1903.72	22
501_125128_000147_000000	'I think, my dear,' said the Golden Dustman, 'I'll at once get rid of Wegg for the night, because he's coming to inhabit the Bower, and it might be put into his head or somebody else's, if he heard this and it got about that the house is haunted.	'I think, my dear,' said the Golden Dustman, 'I'll at once get rid of Wegg for the night, because he's coming to inhabit the Bower, and it might be put into his head or somebody else's, if he heard this and it got about that the house is haunted.	false	1904.39	1919.73	21.411299
501_125128_000147_000001	Whereas we know better.	Whereas we know better.	true	1919.73	1920.84	23
501_125128_000147_000002	Don't we?'	Don't we?'	true	1920.84	1921.57	17.90911
501_125128_000148_000000	'I never had the feeling in the house before,' said Mrs Boffin; 'and I have been about it alone at all hours of the night.	'I never had the feeling in the house before,' said Mrs Boffin; 'and I have been about it alone at all hours of the night.	true	1922.3	1930.21	21.621014
501_125128_000148_000001	I have been in the house when Death was in it, and I have been in the house when Murder was a new part of its adventures, and I never had a fright in it yet.'	I have been in the house when Death was in it, and I have been in the house when Murder was a new part of its adventures, and I never had a fright in it yet.'	false	1930.52	1938.25	20
501_125128_000149_000000	'And won't again, my dear,' said Mr Boffin. 'Depend upon it, it comes of thinking and dwelling on that dark spot.'	'And won't again, my dear,' said Mr Boffin. 'Depend upon it, it comes of thinking and dwelling on that dark spot.'	true	1938.74	1946.05	20.688126
501_125128_000150_000000	'Yes; but why didn't it come before?' asked Mrs Boffin.	'Yes; but why didn't it come before?' asked Mrs Boffin.	true	1946.45	1950.13	25.123863
501_125128_000151_000000	This draft on Mr Boffin's philosophy could only be met by that gentleman with the remark that everything that is at all, must begin at some time. Then, tucking his wife's arm under his own, that she might not be left by herself to be troubled again, he descended to release Wegg.	This draft on Mr Boffin's philosophy could only be met by that gentleman with the remark that everything that is at all, must begin at some time. Then, tucking his wife's arm under his own, that she might not be left by herself to be troubled again, he descended to release Wegg.	true	1950.92	1966.58	20.226961
501_125128_000151_000001	Who, being something drowsy after his plentiful repast, and constitutionally of a shirking temperament, was well enough pleased to stump away, without doing what he had come to do, and was paid for doing.	Who, being something drowsy after his plentiful repast, and constitutionally of a shirking temperament, was well enough pleased to stump away, without doing what he had come to do, and was paid for doing.	true	1966.58	1977.4	21
501_125128_000152_000000	Mr Boffin then put on his hat, and Mrs Boffin her shawl; and the pair, further provided with a bunch of keys and a lighted lantern, went all over the dismal house--dismal everywhere, but in their own two rooms--from cellar to cock-loft.	Mr Boffin then put on his hat, and Mrs Boffin her shawl; and the pair, further provided with a bunch of keys and a lighted lantern, went all over the dismal house-dismal everywhere, but in their own two rooms-from cellar to cock loft.	true	1978.22	1992.43	20.837063
501_125128_000152_000001	Not resting satisfied with giving that much chace to Mrs Boffin's fancies, they pursued them into the yard and outbuildings, and under the Mounds.	Not resting satisfied with giving that much chace to Mrs Boffin's fancies, they pursued them into the yard and outbuildings, and under the Mounds.	true	1992.59	2000.23	17
501_125128_000152_000002	And setting the lantern, when all was done, at the foot of one of the Mounds, they comfortably trotted to and fro for an evening walk, to the end that the murky cobwebs in Mrs Boffin's brain might be blown away.	And setting the lantern, when all was done, at the foot of one of the Mounds, they comfortably trotted to and fro for an evening walk, to the end that the murky cobwebs in Mrs Boffin's brain might be blown away.	true	2000.9	2012.02	19
501_125128_000153_000000	'There, my dear!' said Mr Boffin when they came in to supper.	'There, my dear!' said Mr Boffin when they came in to supper.	true	2012.9	2016.31	17.926422
501_125128_000153_000001	'That was the treatment, you see.	'That was the treatment, you see.	true	2016.41	2018.05	24.132576
501_125128_000153_000002	Completely worked round, haven't you?'	Completely worked round, haven't you?'	false	2018.09	2020.83	21.987288
501_125128_000154_000000	'Yes, deary,' said Mrs Boffin, laying aside her shawl.	'Yes, deary,' said Mrs Boffin, laying aside her shawl.	true	2020.83	2024.38	23.163813
501_125128_000154_000001	'I'm not nervous any more.	'I'm not nervous any more.	true	2024.72	2026.48	20
501_125128_000154_000002	I'm not a bit troubled now.	I'm not a bit troubled now.	true	2026.61	2028.4	18.693142
501_125128_000154_000003	I'd go anywhere about the house the same as ever.	I'd go anywhere about the house the same as ever.	true	2028.71	2031.34	19
501_125128_000154_000004	But--'	But-'	true	2031.5	2031.99	23.822138
501_125128_000155_000000	'Eh!' said Mr Boffin.	'Eh!' said Mr Boffin.	false	2031.99	2034.25	23.056305
501_125128_000156_000000	'But I've only to shut my eyes.'	'But I've only to shut my eyes.'	true	2034.74	2036.83	18
501_125128_000157_000000	'And what then?'	'And what then?'	true	2037.17	2038.12	19.95908
501_125128_000158_000000	'Why then,' said Mrs Boffin, speaking with her eyes closed, and her left hand thoughtfully touching her brow, 'then, there they are!	'Why then,' said Mrs Boffin, speaking with her eyes closed, and her left hand thoughtfully touching her brow, 'then, there they are!	false	2038.55	2046.73	19.455196
501_125128_000158_000001	The old man's face, and it gets younger.	The old man's face, and it gets younger.	true	2047.19	2049.97	21.723198
501_125128_000158_000002	The two children's faces, and they get older.	The two children's faces, and they get older.	true	2050.07	2053.15	21.25516
501_125128_000158_000003	A face that I don't know.	A face that I don't know.	true	2053.61	2055.25	20.201302
501_125128_000158_000004	And then all the faces!'	And then all the faces!'	true	2055.65	2057.71	16.561388
501_125128_000159_000000	Opening her eyes again, and seeing her husband's face across the table, she leaned forward to give it a pat on the cheek, and sat down to supper, declaring it to be the best face in the world.	Opening her eyes again, and seeing her husband's face across the table, she leaned forward to give it a pat on the cheek, and sat down to supper, declaring it to be the best face in the world.	false	2059.04	2076.84	19.678062
