7145_87280_000000_000000	_CHAPTER VII_	underscore CHAPTER seven underscore	false	0	16.32	22.889149
7145_87280_000100_000000	He went back to her and said: "I tried to avoid this, and if you had helped me, it would never--" But he remembered how he had always despised Adam for throwing the blame upon Eve, no matter how much she may have deserved it, and continued: "No; I do not mean that.	He went back to her and said: "I tried to avoid this, and if you had helped me, it would never-" But he remembered how he had always despised Adam for throwing the blame upon Eve, no matter how much she may have deserved it, and continued: "No; I do not mean that.	false	2161.52	2178.13	19.789412
7145_87280_000100_000001	It is all my fault.	It is all my fault.	true	2178.26	2179.78	24.078802
7145_87280_000100_000002	I should have gone away long ago.	I should have gone away long ago.	true	2179.97	2182.06	19.042942
7145_87280_000100_000003	I could not help it; I tried.	I could not help it; I tried.	true	2182.58	2185.3	21.103447
7145_87280_000100_000004	Oh!	Oh!	true	2185.61	2186.07	39
7145_87280_000100_000005	I tried."	I tried."	true	2186.07	2187.28	20.13058
7145_87280_000101_000000	Mary's eyes were bent upon the floor, and tears were falling over her flushed cheeks, unheeded and unchecked.	Mary's eyes were bent upon the floor, and tears were falling over her flushed cheeks, unheeded and unchecked.	true	2188.49	2194.72	20.237059
7145_87280_000102_000000	"There is no fault in any one; neither could I help it," she murmured.	"There is no fault in any one; neither could I help it," she murmured.	true	2195.39	2200.12	20.489435
7145_87280_000103_000000	"No, no; it is not that there is any fault in the ordinary sense; it is like suicide or any other great, self-inflicted injury with me.	"No, no; it is not that there is any fault in the ordinary sense; it is like suicide or any other great, self inflicted injury with me.	false	2201.03	2209.76	20.507607
7145_87280_000103_000001	I am different from other men.	I am different from other men.	true	2209.76	2211.49	13
7145_87280_000103_000002	I shall never recover."	I shall never recover."	true	2212.13	2213.86	20.888199
7145_87280_000104_000000	"I know only too well that you are different from other men, and--and I, too, am different from other women--am I not?"	"I know only too well that you are different from other men, and-and I, too, am different from other women-am I not?"	false	2214.86	2223.91	21.718294
7145_87280_000105_000000	"Ah, different!	"Ah, different!	true	2224.28	2225.99	19.494398
7145_87280_000105_000001	There is no other woman in all this wide, long world," and they were in each other's arms again.	There is no other woman in all this wide, long world," and they were in each other's arms again.	true	2225.99	2232.04	17.584303
7145_87280_000105_000002	She turned her shoulder to him and rested with the support of his arms about her.	She turned her shoulder to him and rested with the support of his arms about her.	true	2232.38	2236.42	16
7145_87280_000105_000003	Her eyes were cast down in silence, and she was evidently thinking as she toyed with the lace of his doublet.	Her eyes were cast down in silence, and she was evidently thinking as she toyed with the lace of his doublet.	true	2236.79	2242.75	20.449509
7145_87280_000105_000004	Brandon knew her varying expressions so well that he saw there was something wanting, so he asked:	Brandon knew her varying expressions so well that he saw there was something wanting, so he asked:	true	2243.27	2249.44	20.205128
7145_87280_000106_000000	"Is there something you wish to say?"	"Is there something you wish to say?"	true	2250.17	2251.93	19.94712
7145_87280_000107_000000	"Not I," she responded with emphasis on the pronoun.	"Not I," she responded with emphasis on the pronoun.	true	2252.27	2255.62	15
7145_87280_000108_000000	"Then is it something you wish me to say?"	"Then is it something you wish me to say?"	true	2256.44	2258.86	18
7145_87280_000109_000000	She nodded her head slowly: "Yes."	She nodded her head slowly: "Yes."	true	2259.44	2262.1	20.599232
7145_87280_000110_000000	"What is it?	"What is it?	true	2263.31	2264.09	20.92137
7145_87280_000110_000001	Tell me and I will say it."	Tell me and I will say it."	true	2264.09	2265.49	22.39187
7145_87280_000111_000000	She shook her head slowly: "No."	She shook her head slowly: "no"	true	2266.34	2268.85	18.71166
7145_87280_000112_000000	"What is it?	"What is it?	true	2269.67	2270.53	20.884418
7145_87280_000112_000001	I cannot guess."	I cannot guess."	true	2270.53	2271.79	20.887505
7145_87280_000113_000000	"Did you not like to hear me say that--that I--loved you?"	"Did you not like to hear me say that-that I-loved you?"	true	2273.24	2277.1	20.060675
7145_87280_000114_000000	"Ah, yes; you know it.	"Ah, yes; you know it.	true	2277.83	2280.37	22.351263
7145_87280_000114_000001	But--oh!--do you wish to hear me say it?"	But-oh!--do you wish to hear me say it?"	true	2280.68	2283.64	23.108452
7145_87280_000115_000000	The head nodded rapidly two or three times: "Yes." And the black curving lashes were lifted for a fleeting, luminous instant.	The head nodded rapidly two or three times: "Yes." And the black curving lashes were lifted for a fleeting, luminous instant.	true	2284.46	2292.07	19.257397
7145_87280_000116_000000	"It is surely not necessary; you have known it so long already, but I am only too glad to say it.	"It is surely not necessary; you have known it so long already, but I am only too glad to say it.	true	2292.68	2299.27	18.381605
7145_87280_000116_000001	I love you."	I love you."	true	2299.7	2300.98	17.706573
7145_87280_000117_000000	She nestled closer to him and hid her face on his breast.	She nestled closer to him and hid her face on his breast.	true	2302.04	2305.09	20.50182
7145_87280_000118_000000	"Now that I have said it, what is my reward?" he asked--and the fair face came up, red and rosy, with "rewards," any one of which was worth a king's ransom.	"Now that I have said it, what is my reward?" he asked-and the fair face came up, red and rosy, with "rewards," any one of which was worth a king's ransom.	true	2305.31	2315.5	20.45122
7145_87280_000119_000000	"But this is worse than insanity," cried Brandon, as he almost pushed her from him.	"But this is worse than insanity," cried Brandon, as he almost pushed her from him.	true	2316.41	2321.44	22.357979
7145_87280_000119_000001	"We can never belong to each other; never."	"We can never belong to each other; never."	true	2321.75	2324.83	20.221313
7145_87280_000120_000000	"No," said Mary, with a despairing shake of the head, as the tears began to flow again; "no! never." And falling upon his knees, he caught both her hands in his, sprang to his feet and ran from the room.	"No," said Mary, with a despairing shake of the head, as the tears began to flow again; "no! never." And falling upon his knees, he caught both her hands in his, sprang to his feet and ran from the room.	true	2325.41	2340.4	20.719067
7145_87280_000121_000000	Her words showed him the chasm anew.	Her words showed him the chasm anew.	true	2341.19	2343.97	21.450201
7145_87280_000121_000001	She saw the distance between them even better than he.	She saw the distance between them even better than he.	true	2344.61	2347.45	19
7145_87280_000121_000002	Evidently it seemed farther looking down than looking up.	Evidently it seemed farther looking down than looking up.	true	2347.55	2351.11	21.585243
7145_87280_000121_000003	There was nothing left now but flight.	There was nothing left now but flight.	true	2351.6	2353.75	23.62985
7145_87280_000122_000000	He sought refuge in his own apartments and wildly walked the floor, exclaiming, "Fool! fool that I am to lay up this store of agony to last me all my days.	He sought refuge in his own apartments and wildly walked the floor, exclaiming, "Fool! fool that I am to lay up this store of agony to last me all my days.	true	2354.84	2364.91	19.844759
7145_87280_000122_000001	Why did I ever come to this court?	Why did I ever come to this court?	true	2365.52	2367.64	20.193844
7145_87280_000122_000002	God pity me--pity me!" And he fell upon his knees at the bed, burying his face in his arms, his mighty man's frame shaking as with a palsy.	God pity me-pity me!" And he fell upon his knees at the bed, burying his face in his arms, his mighty man's frame shaking as with a palsy.	true	2367.92	2378.25	18.258835
7145_87280_000123_000000	That same night Brandon told me how he had committed suicide, as he put it, and of his intention to go to Bristol and there await the sailing of the ship, and perhaps find a partial resurrection in New Spain.	That same night Brandon told me how he had committed suicide, as he put it, and of his intention to go to Bristol and there await the sailing of the ship, and perhaps find a partial resurrection in New Spain.	false	2378.25	2392.66	19.482721
7145_87280_000124_000000	Unfortunately, he could not start for Bristol at once, as he had given some challenges for a tournament at Richmond, and could furnish no good excuse to withdraw them; but he would not leave his room, nor again see "that girl who was driving him mad."	Unfortunately, he could not start for Bristol at once, as he had given some challenges for a tournament at Richmond, and could furnish no good excuse to withdraw them; but he would not leave his room, nor again see "that girl who was driving him mad."	false	2393.15	2410.23	19.921293
7145_87280_000125_000000	It was better, he thought, and wisely too, that there be no leave-taking, but that he should go without meeting her.	It was better, he thought, and wisely too, that there be no leave taking, but that he should go without meeting her.	true	2410.23	2417.44	21.135649
7145_87280_000126_000000	"If I see her again," he said, "I shall have to kill some one, even if it is only myself."	"If I see her again," he said, "I shall have to kill some one, even if it is only myself."	true	2417.99	2425.36	21.25514
7145_87280_000127_000000	I heard him tossing in his bed all night, and when morning came he arose looking haggard enough, but with his determination to run away and see Mary no more, stronger than ever upon him.	I heard him tossing in his bed all night, and when morning came he arose looking haggard enough, but with his determination to run away and see Mary no more, stronger than ever upon him.	true	2425.97	2437.87	19
7145_87280_000128_000000	But providence, or fate, or some one, ordered it differently, and there was plenty of trouble ahead.	But providence, or fate, or some one, ordered it differently, and there was plenty of trouble ahead.	true	2438.42	2445.54	22.109028
7145_87280_000129_000000	_CHAPTER VIII_	underscore CHAPTER eight underscore	false	2445.54	2450.16	19.71158
7145_87280_000130_000000	_The Trouble in Billingsgate Ward_	underscore The Trouble in Billingsgate Ward underscore	false	2450.16	2452.77	20.797777
