7874_110243_000000_000000	Barrymore was crouching at the window with the candle held against the glass.	Barrymore was crouching at the window with the candle held against the glass.	false	0	2.22	20.005556
7874_110243_000117_000000	It was as cold as a block of marble.	It was as cold as a block of marble.	true	1706.39	1709.02	21.90847
7874_110243_000118_000000	"You'll be all right tomorrow."	"You'll be all right tomorrow."	true	1709.24	1710.85	30.424458
7874_110243_000119_000000	"I don't think I'll get that cry out of my head.	"I don't think I'll get that cry out of my head.	false	1711.16	1713.94	26.939009
7874_110243_000119_000001	What do you advise that we do now?"	What do you advise that we do now?"	false	1713.95	1715.92	21.261154
7874_110243_000120_000000	"Shall we turn back?"	"Shall we turn back?"	true	1716.29	1717.58	28.185438
7874_110243_000121_000000	"No, by thunder; we have come out to get our man, and we will do it.	"No, by thunder; we have come out to get our man, and we will do it.	true	1717.58	1721.5	22.160786
7874_110243_000121_000001	We after the convict, and a hell-hound, as likely as not, after us.	We after the convict, and a hell hound, as likely as not, after us.	false	1721.87	1726.09	24.890985
7874_110243_000121_000002	Come on!	Come on!	true	1726.25	1727.05	23.31974
7874_110243_000121_000003	We'll see it through if all the fiends of the pit were loose upon the moor."	We'll see it through if all the fiends of the pit were loose upon the moor."	true	1727.3	1730.77	23.649279
7874_110243_000122_000000	We stumbled slowly along in the darkness, with the black loom of the craggy hills around us, and the yellow speck of light burning steadily in front.	We stumbled slowly along in the darkness, with the black loom of the craggy hills around us, and the yellow speck of light burning steadily in front.	true	1731.08	1740.07	23.826303
7874_110243_000122_000001	There is nothing so deceptive as the distance of a light upon a pitch-dark night, and sometimes the glimmer seemed to be far away upon the horizon and sometimes it might have been within a few yards of us. But at last we could see whence it came, and then we knew that we were indeed very close.	There is nothing so deceptive as the distance of a light upon a pitch dark night, and sometimes the glimmer seemed to be far away upon the horizon and sometimes it might have been within a few yards of us. But at last we could see whence it came, and then we knew that we were indeed very close.	false	1740.38	1759.3	23.877735
7874_110243_000122_000002	A guttering candle was stuck in a crevice of the rocks which flanked it on each side so as to keep the wind from it and also to prevent it from being visible, save in the direction of Baskerville Hall.	A guttering candle was stuck in a crevice of the rocks which flanked it on each side so as to keep the wind from it and also to prevent it from being visible, save in the direction of Baskerville Hall.	false	1759.55	1771.24	26.21915
7874_110243_000122_000003	A boulder of granite concealed our approach, and crouching behind it we gazed over it at the signal light.	A boulder of granite concealed our approach, and crouching behind it we gazed over it at the signal light.	false	1771.64	1777.95	25.785343
7874_110243_000122_000004	It was strange to see this single candle burning there in the middle of the moor, with no sign of life near it--just the one straight yellow flame and the gleam of the rock on each side of it.	It was strange to see this single candle burning there in the middle of the moor, with no sign of life near it-just the one straight yellow flame and the gleam of the rock on each side of it.	true	1777.95	1787.98	22.949501
7874_110243_000123_000000	"What shall we do now?" whispered Sir Henry.	"What shall we do now?" whispered Sir Henry.	true	1788.35	1790.82	26.14143
7874_110243_000124_000000	"Wait here.	"Wait here.	false	1790.82	1792.35	19.512266
7874_110243_000124_000001	He must be near his light.	He must be near his light.	true	1792.35	1793.92	21.04704
7874_110243_000124_000002	Let us see if we can get a glimpse of him."	Let us see if we can get a glimpse of him."	true	1794.23	1796.8	24.502
7874_110243_000125_000000	The words were hardly out of my mouth when we both saw him.	The words were hardly out of my mouth when we both saw him.	true	1796.9	1800.04	23.067642
7874_110243_000125_000001	Over the rocks, in the crevice of which the candle burned, there was thrust out an evil yellow face, a terrible animal face, all seamed and scored with vile passions.	Over the rocks, in the crevice of which the candle burned, there was thrust out an evil yellow face, a terrible animal face, all seamed and scored with vile passions.	true	1800.2	1811.17	23.970366
7874_110243_000125_000002	Foul with mire, with a bristling beard, and hung with matted hair, it might well have belonged to one of those old savages who dwelt in the burrows on the hillsides.	Foul with mire, with a bristling beard, and hung with matted hair, it might well have belonged to one of those old savages who dwelt in the burrows on the hillsides.	true	1811.36	1821.55	23.621094
7874_110243_000125_000003	The light beneath him was reflected in his small, cunning eyes which peered fiercely to right and left through the darkness like a crafty and savage animal who has heard the steps of the hunters.	The light beneath him was reflected in his small, cunning eyes which peered fiercely to right and left through the darkness like a crafty and savage animal who has heard the steps of the hunters.	true	1821.74	1833.49	25.395493
7874_110243_000126_000000	Something had evidently aroused his suspicions.	Something had evidently aroused his suspicions.	true	1833.77	1836.82	26.090265
7874_110243_000126_000001	It may have been that Barrymore had some private signal which we had neglected to give, or the fellow may have had some other reason for thinking that all was not well, but I could read his fears upon his wicked face.	It may have been that Barrymore had some private signal which we had neglected to give, or the fellow may have had some other reason for thinking that all was not well, but I could read his fears upon his wicked face.	true	1837.1	1849.06	21.579578
7874_110243_000126_000002	Any instant he might dash out the light and vanish in the darkness.	Any instant he might dash out the light and vanish in the darkness.	true	1849.28	1853.14	26.51432
7874_110243_000126_000003	I sprang forward therefore, and Sir Henry did the same.	I sprang forward therefore, and Sir Henry did the same.	true	1853.27	1856.58	23.255375
7874_110243_000126_000004	At the same moment the convict screamed out a curse at us and hurled a rock which splintered up against the boulder which had sheltered us.	At the same moment the convict screamed out a curse at us and hurled a rock which splintered up against the boulder which had sheltered us.	true	1856.58	1863.91	24.174744
7874_110243_000126_000005	I caught one glimpse of his short, squat, strongly built figure as he sprang to his feet and turned to run. At the same moment by a lucky chance the moon broke through the clouds. We rushed over the brow of the hill, and there was our man running with great speed down the other side, springing over the stones in his way with the activity of a mountain goat.	I caught one glimpse of his short, squat, strongly built figure as he sprang to his feet and turned to run. At the same moment by a lucky chance the moon broke through the clouds. We rushed over the brow of the hill, and there was our man running with great speed down the other side, springing over the stones in his way with the activity of a mountain goat.	true	1864.01	1885.71	25.20886
7874_110243_000126_000006	A lucky long shot of my revolver might have crippled him, but I had brought it only to defend myself if attacked and not to shoot an unarmed man who was running away.	A lucky long shot of my revolver might have crippled him, but I had brought it only to defend myself if attacked and not to shoot an unarmed man who was running away.	false	1885.71	1895.08	21.095064
7874_110243_000127_000000	We were both swift runners and in fairly good training, but we soon found that we had no chance of overtaking him.	We were both swift runners and in fairly good training, but we soon found that we had no chance of overtaking him.	true	1896.41	1903.57	25.267366
7874_110243_000127_000001	We saw him for a long time in the moonlight until he was only a small speck moving swiftly among the boulders upon the side of a distant hill.	We saw him for a long time in the moonlight until he was only a small speck moving swiftly among the boulders upon the side of a distant hill.	false	1904.36	1912.33	19
7874_110243_000127_000002	We ran and ran until we were completely blown, but the space between us grew ever wider. Finally we stopped and sat panting on two rocks, while we watched him disappearing in the distance.	We ran and ran until we were completely blown, but the space between us grew ever wider. Finally we stopped and sat panting on two rocks, while we watched him disappearing in the distance.	true	1912.52	1924.15	24.34283
7874_110243_000128_000000	And it was at this moment that there occurred a most strange and unexpected thing.	And it was at this moment that there occurred a most strange and unexpected thing.	true	1924.37	1929.28	24.083202
7874_110243_000128_000001	We had risen from our rocks and were turning to go home, having abandoned the hopeless chase.	We had risen from our rocks and were turning to go home, having abandoned the hopeless chase.	true	1929.53	1934.8	24.336994
7874_110243_000128_000002	The moon was low upon the right, and the jagged pinnacle of a granite tor stood up against the lower curve of its silver disc.	The moon was low upon the right, and the jagged pinnacle of a granite tor stood up against the lower curve of its silver disc.	false	1935.11	1942.48	24.59152
7874_110243_000128_000003	There, outlined as black as an ebony statue on that shining background, I saw the figure of a man upon the tor.	There, outlined as black as an ebony statue on that shining background, I saw the figure of a man upon the tor.	true	1942.58	1950.07	23.705118
7874_110243_000128_000004	Do not think that it was a delusion, Holmes.	Do not think that it was a delusion, Holmes.	true	1950.38	1953.08	23.793447
7874_110243_000128_000005	I assure you that I have never in my life seen anything more clearly.	I assure you that I have never in my life seen anything more clearly.	true	1953.08	1956.88	21
7874_110243_000128_000006	As far as I could judge, the figure was that of a tall, thin man.	As far as I could judge, the figure was that of a tall, thin man.	true	1957.07	1961.23	23.305626
7874_110243_000128_000007	He stood with his legs a little separated, his arms folded, his head bowed, as if he were brooding over that enormous wilderness of peat and granite which lay before him.	He stood with his legs a little separated, his arms folded, his head bowed, as if he were brooding over that enormous wilderness of peat and granite which lay before him.	true	1961.45	1971.55	23.854053
7874_110243_000128_000008	He might have been the very spirit of that terrible place. It was not the convict.	He might have been the very spirit of that terrible place. It was not the convict.	true	1971.8	1977.07	22.654743
7874_110243_000128_000009	This man was far from the place where the latter had disappeared.	This man was far from the place where the latter had disappeared.	true	1977.17	1980.55	23.56153
7874_110243_000128_000010	Besides, he was a much taller man.	Besides, he was a much taller man.	true	1980.62	1983.19	24.321692
7874_110243_000128_000011	With a cry of surprise I pointed him out to the baronet, but in the instant during which I had turned to grasp his arm the man was gone.	With a cry of surprise I pointed him out to the baronet, but in the instant during which I had turned to grasp his arm the man was gone.	true	1983.35	1990.6	24.289436
7874_110243_000128_000012	There was the sharp pinnacle of granite still cutting the lower edge of the moon, but its peak bore no trace of that silent and motionless figure.	There was the sharp pinnacle of granite still cutting the lower edge of the moon, but its peak bore no trace of that silent and motionless figure.	true	1990.79	1998.39	24.66685
7874_110243_000129_000000	I wished to go in that direction and to search the tor, but it was some distance away.	I wished to go in that direction and to search the tor, but it was some distance away.	false	1998.39	2003.65	24.963228
7874_110243_000129_000001	The baronet's nerves were still quivering from that cry, which recalled the dark story of his family, and he was not in the mood for fresh adventures.	The baronet's nerves were still quivering from that cry, which recalled the dark story of his family, and he was not in the mood for fresh adventures.	true	2003.87	2012.38	24.768305
7874_110243_000129_000002	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me.	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me.	true	2012.54	2020.27	24.358746
7874_110243_000129_000003	"A warder, no doubt," said he.	"A warder, no doubt," said he.	true	2020.43	2022.43	23.78888
7874_110243_000129_000004	"The moor has been thick with them since this fellow escaped." Well, perhaps his explanation may be the right one, but I should like to have some further proof of it.	"The moor has been thick with them since this fellow escaped." Well, perhaps his explanation may be the right one, but I should like to have some further proof of it.	true	2022.53	2031.04	24.489334
7874_110243_000129_000005	Today we mean to communicate to the Princetown people where they should look for their missing man, but it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner.	Today we mean to communicate to the Princetown people where they should look for their missing man, but it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner.	false	2031.23	2042.05	25.032766
7874_110243_000129_000006	Such are the adventures of last night, and you must acknowledge, my dear Holmes, that I have done you very well in the matter of a report.	Such are the adventures of last night, and you must acknowledge, my dear Holmes, that I have done you very well in the matter of a report.	true	2042.21	2049.73	23.520859
7874_110243_000129_000007	Much of what I tell you is no doubt quite irrelevant, but still I feel that it is best that I should let you have all the facts and leave you to select for yourself those which will be of most service to you in helping you to your conclusions.	Much of what I tell you is no doubt quite irrelevant, but still I feel that it is best that I should let you have all the facts and leave you to select for yourself those which will be of most service to you in helping you to your conclusions.	true	2050.07	2062.45	22.50689
7874_110243_000129_000008	We are certainly making some progress.	We are certainly making some progress.	true	2062.88	2065.3	23.79132
7874_110243_000129_000009	So far as the Barrymores go we have found the motive of their actions, and that has cleared up the situation very much.	So far as the Barrymores go we have found the motive of their actions, and that has cleared up the situation very much.	true	2065.64	2072.2	24.492779
7874_110243_000129_000010	But the moor with its mysteries and its strange inhabitants remains as inscrutable as ever.	But the moor with its mysteries and its strange inhabitants remains as inscrutable as ever.	true	2072.2	2077.51	23.290554
7874_110243_000129_000011	Perhaps in my next I may be able to throw some light upon this also.	Perhaps in my next I may be able to throw some light upon this also.	true	2077.73	2081.89	22.563835
7874_110243_000129_000012	Best of all would it be if you could come down to us.	Best of all would it be if you could come down to us.	false	2081.96	2085.4	25.91358
7874_110243_000129_000013	In any case you will hear from me again in the course of the next few days.	In any case you will hear from me again in the course of the next few days.	false	2085.47	2093.79	24.597534
