1638_84447_000000_000000	STAVE IV: THE LAST OF THE SPIRITS	STAVE i v: THE LAST OF THE SPIRITS	false	0.6	19.03	23.605509
1638_84447_000150_000002	The Phantom was exactly as it had been, but he dreaded that he saw new meaning in its solemn shape.	The Phantom was exactly as it had been, but he dreaded that he saw new meaning in its solemn shape.	true	1919.45	1926.4	19.673363
1638_84447_000151_000000	"Before I draw nearer to that stone to which you point," said Scrooge, "answer me one question.	"Before I draw nearer to that stone to which you point," said Scrooge, "answer me one question.	true	1926.77	1933.72	25.006542
1638_84447_000151_000001	Are these the shadows of the things that Will be, or are they shadows of things that May be, only?"	Are these the shadows of the things that Will be, or are they shadows of things that May be, only?"	false	1934.21	1941.1	22.463308
1638_84447_000152_000000	Still the Ghost pointed downward to the grave by which it stood.	Still the Ghost pointed downward to the grave by which it stood.	true	1941.26	1945.69	23.82889
1638_84447_000153_000000	"Men's courses will foreshadow certain ends, to which, if persevered in, they must lead," said Scrooge.	"Men's courses will foreshadow certain ends, to which, if persevered in, they must lead," said Scrooge.	true	1945.97	1952.92	24.687017
1638_84447_000153_000001	"But if the courses be departed from, the ends will change.	"But if the courses be departed from, the ends will change.	true	1953.38	1957.33	26.331617
1638_84447_000153_000002	Say it is thus with what you show me!"	Say it is thus with what you show me!"	true	1957.49	1959.67	20
1638_84447_000154_000000	The Spirit was immovable as ever.	The Spirit was immovable as ever.	true	1960.34	1963.48	23.413141
1638_84447_000155_000000	Scrooge crept towards it, trembling as he went; and following the finger, read upon the stone of the neglected grave his own name, EBENEZER SCROOGE.	Scrooge crept towards it, trembling as he went; and following the finger, read upon the stone of the neglected grave his own name, EBENEZER SCROOGE.	true	1964.42	1978.33	25.201735
1638_84447_000156_000000	"Am I that man who lay upon the bed?" he cried, upon his knees.	"Am I that man who lay upon the bed?" he cried, upon his knees.	true	1979.24	1983.37	22.846437
1638_84447_000157_000000	The finger pointed from the grave to him, and back again.	The finger pointed from the grave to him, and back again.	true	1983.71	1988.68	25.158413
1638_84447_000158_000000	"No, Spirit!	"No, Spirit!	true	1989.44	1990.78	32.344585
1638_84447_000158_000001	Oh no, no!"	Oh no, no!"	true	1990.85	1992.67	24.829733
1638_84447_000159_000000	The finger still was there.	The finger still was there.	true	1993.61	1995.37	26.605751
1638_84447_000160_000000	"Spirit!" he cried, tight clutching at its robe, "hear me! I am not the man I was.	"Spirit!" he cried, tight clutching at its robe, "hear me! I am not the man I was.	false	1995.53	2001.43	23.336922
1638_84447_000160_000001	I will not be the man I must have been but for this intercourse.	I will not be the man I must have been but for this intercourse.	true	2001.53	2005.24	17
1638_84447_000160_000002	Why show me this, if I am past all hope!"	Why show me this, if I am past all hope!"	true	2005.24	2008.3	23.583942
1638_84447_000161_000000	For the first time the hand appeared to shake.	For the first time the hand appeared to shake.	true	2008.73	2011.93	33.370396
1638_84447_000162_000000	"Good Spirit," he pursued, as down upon the ground he fell before it: "Your nature intercedes for me, and pities me.	"Good Spirit," he pursued, as down upon the ground he fell before it: "Your nature intercedes for me, and pities me.	true	2012.63	2020.24	23.212954
1638_84447_000162_000001	Assure me that I yet may change these shadows you have shown me, by an altered life!"	Assure me that I yet may change these shadows you have shown me, by an altered life!"	false	2020.24	2025.01	21
1638_84447_000163_000000	The kind hand trembled.	The kind hand trembled.	true	2025.35	2027.26	23.087332
1638_84447_000164_000000	"I will honour Christmas in my heart, and try to keep it all the year.	"I will honour Christmas in my heart, and try to keep it all the year.	true	2027.69	2031.67	21
1638_84447_000164_000001	I will live in the Past, the Present, and the Future.	I will live in the Past, the Present, and the Future.	true	2031.67	2034.93	23.940794
1638_84447_000164_000002	The Spirits of all Three shall strive within me.	The Spirits of all Three shall strive within me.	true	2034.93	2037.81	16
1638_84447_000164_000003	I will not shut out the lessons that they teach.	I will not shut out the lessons that they teach.	true	2037.81	2040.29	10
1638_84447_000164_000004	Oh, tell me I may sponge away the writing on this stone!"	Oh, tell me I may sponge away the writing on this stone!"	false	2040.29	2074.32	24.779266
