2577_157236_000000_000000	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	false	0	4.71	14.794779
2577_157236_000163_000002	Be off, or I'll send for the police.'	Be off, or I'll send for the police.'	true	1723.71	1725.76	25
2577_157236_000164_000000	'Don't be angry,' said Anthea, soothingly, 'we only wanted to ask you to let us have the carpet.	'Don't be angry,' said Anthea, soothingly, 'we only wanted to ask you to let us have the carpet.	true	1726.28	1732.12	20
2577_157236_000164_000001	We have quite twelve shillings between us, and--'	We have quite twelve shillings between us, and-'	true	1732.19	1735.09	20
2577_157236_000165_000000	'How DARE you?' cried Mrs Biddle, and her voice shook with angriness.	'How DARE you?' cried Mrs Biddle, and her voice shook with angriness.	true	1735.43	1741.09	16.50706
2577_157236_000166_000000	'You do look horrid,' said Jane suddenly.	'You do look horrid,' said Jane suddenly.	true	1741.52	1744.66	16
2577_157236_000167_000000	Mrs Biddle actually stamped that booted foot of hers.	Mrs Biddle actually stamped that booted foot of hers.	true	1745.03	1748.35	20
2577_157236_000167_000001	'You rude, barefaced child!' she said.	'You rude, barefaced child!' she said.	true	1748.48	1751.26	20.477013
2577_157236_000168_000000	Anthea almost shook Jane; but Jane pushed forward in spite of her.	Anthea almost shook Jane; but Jane pushed forward in spite of her.	true	1751.57	1755.79	19
2577_157236_000169_000000	'It really IS our nursery carpet,' she said, 'you ask ANY ONE if it isn't.'	'It really IS our nursery carpet,' she said, 'you ask ANY ONE if it isn't.'	false	1756.13	1762.09	19.446457
2577_157236_000170_000000	'Let's wish ourselves home,' said Cyril in a whisper.	'Let's wish ourselves home,' said Cyril in a whisper.	true	1762.64	1766.47	16
2577_157236_000171_000000	'No go,' Robert whispered back, 'she'd be there too, and raving mad as likely as not.	'No go,' Robert whispered back, 'she'd be there too, and raving mad as likely as not.	true	1766.63	1772.22	18
2577_157236_000171_000001	Horrid thing, I hate her!'	Horrid thing, I hate her!'	true	1772.22	1774.3	18.576937
2577_157236_000172_000000	'I wish Mrs Biddle was in an angelic good temper,' cried Anthea, suddenly.	'I wish Mrs Biddle was in an angelic good temper,' cried Anthea, suddenly.	true	1774.85	1780	14
2577_157236_000172_000001	'It's worth trying,' she said to herself.	'It's worth trying,' she said to herself.	true	1780.37	1783	16.506273
2577_157236_000173_000000	Mrs Biddle's face grew from purple to violet, and from violet to mauve, and from mauve to pink.	Mrs Biddle's face grew from purple to violet, and from violet to mauve, and from mauve to pink.	true	1783.34	1789.96	19.698174
2577_157236_000173_000001	Then she smiled quite a jolly smile.	Then she smiled quite a jolly smile.	true	1790.15	1792.48	19.648436
2577_157236_000174_000000	'Why, so I am!' she said, 'what a funny idea!	'Why, so I am!' she said, 'what a funny idea!	true	1792.85	1796.16	18
2577_157236_000174_000001	Why shouldn't I be in a good temper, my dears.'	Why shouldn't I be in a good temper, my dears.'	true	1796.16	1798.84	16
2577_157236_000175_000000	Once more the carpet had done its work, and not on Mrs Biddle alone.	Once more the carpet had done its work, and not on Mrs Biddle alone.	true	1799.78	1804.42	18
2577_157236_000175_000001	The children felt suddenly good and happy.	The children felt suddenly good and happy.	true	1804.46	1806.99	18
2577_157236_000176_000000	'You're a jolly good sort,' said Cyril. 'I see that now.	'You're a jolly good sort,' said Cyril. 'I see that now.	false	1806.99	1810.93	19.98189
2577_157236_000176_000001	I'm sorry we vexed you at the bazaar to-day.'	I'm sorry we vexed you at the bazaar to day.'	true	1810.94	1813.69	20.95658
2577_157236_000177_000000	'Not another word,' said the changed Mrs Biddle.	'Not another word,' said the changed Mrs Biddle.	true	1813.88	1816.99	21.707071
2577_157236_000177_000001	'Of course you shall have the carpet, my dears, if you've taken such a fancy to it.	'Of course you shall have the carpet, my dears, if you've taken such a fancy to it.	true	1817	1821.12	15
2577_157236_000177_000002	No, no; I won't have more than the ten shillings I paid.'	No, no; I won't have more than the ten shillings I paid.'	true	1821.12	1824.76	18.350199
2577_157236_000178_000000	'It does seem hard to ask you for it after you bought it at the bazaar,' said Anthea; 'but it really IS our nursery carpet.	'It does seem hard to ask you for it after you bought it at the bazaar,' said Anthea; 'but it really IS our nursery carpet.	false	1825.13	1832.54	19
2577_157236_000178_000001	It got to the bazaar by mistake, with some other things.'	It got to the bazaar by mistake, with some other things.'	true	1832.54	1835.83	19
2577_157236_000179_000000	'Did it really, now?	'Did it really, now?	true	1836.11	1837.44	16
2577_157236_000179_000001	How vexing!' said Mrs Biddle, kindly.	How vexing!' said Mrs Biddle, kindly.	true	1837.44	1840.42	20
2577_157236_000179_000002	'Well, my dears, I can very well give the extra ten shillings; so you take your carpet and we'll say no more about it.	'Well, my dears, I can very well give the extra ten shillings; so you take your carpet and we'll say no more about it.	false	1840.7	1847.88	17
2577_157236_000179_000003	Have a piece of cake before you go!	Have a piece of cake before you go!	true	1847.88	1850.02	21.957354
2577_157236_000179_000004	I'm so sorry I stepped on your hand, my boy.	I'm so sorry I stepped on your hand, my boy.	true	1850.09	1852.63	13
2577_157236_000179_000005	Is it all right now?'	Is it all right now?'	true	1852.63	1853.89	18.360998
2577_157236_000180_000000	'Yes, thank you,' said Robert.	'Yes, thank you,' said Robert.	true	1854.32	1856.03	20.82424
2577_157236_000180_000001	'I say, you ARE good.'	'I say, you ARE good.'	true	1856.03	1857.88	21.229334
2577_157236_000181_000000	'Not at all,' said Mrs Biddle, heartily.	'Not at all,' said Mrs Biddle, heartily.	true	1857.88	1860.39	15
2577_157236_000181_000001	'I'm delighted to be able to give any little pleasure to you dear children.'	'I'm delighted to be able to give any little pleasure to you dear children.'	true	1860.39	1864.72	16
2577_157236_000182_000000	And she helped them to roll up the carpet, and the boys carried it away between them.	And she helped them to roll up the carpet, and the boys carried it away between them.	true	1865.9	1870.24	19
2577_157236_000183_000000	'You ARE a dear,' said Anthea, and she and Mrs Biddle kissed each other heartily.	'You ARE a dear,' said Anthea, and she and Mrs Biddle kissed each other heartily.	true	1870.43	1875.64	22.404264
2577_157236_000184_000000	'WELL!' said Cyril as they went along the street.	'WELL!' said Cyril as they went along the street.	true	1875.77	1879.09	16.279303
2577_157236_000185_000000	'Yes,' said Robert, 'and the odd part is that you feel just as if it was REAL--her being so jolly, I mean--and not only the carpet making her nice.'	'Yes,' said Robert, 'and the odd part is that you feel just as if it was REAL-her being so jolly, I mean-and not only the carpet making her nice.'	true	1879.22	1888.72	21
2577_157236_000186_000000	'Perhaps it IS real,' said Anthea, 'only it was covered up with crossness and tiredness and things, and the carpet took them away.'	'Perhaps it IS real,' said Anthea, 'only it was covered up with crossness and tiredness and things, and the carpet took them away.'	true	1889.27	1896.52	15
2577_157236_000187_000000	'I hope it'll keep them away,' said Jane; 'she isn't ugly at all when she laughs.'	'I hope it'll keep them away,' said Jane; 'she isn't ugly at all when she laughs.'	true	1896.98	1902.34	17
2577_157236_000188_000000	The carpet has done many wonders in its day; but the case of Mrs Biddle is, I think, the most wonderful.	The carpet has done many wonders in its day; but the case of Mrs Biddle is, I think, the most wonderful.	true	1903.49	1909.32	17
2577_157236_000188_000001	For from that day she was never anything like so disagreeable as she was before, and she sent a lovely silver tea-pot and a kind letter to Miss Peasmarsh when the pretty lady married the nice curate; just after Easter it was, and they went to Italy for their honeymoon.	For from that day she was never anything like so disagreeable as she was before, and she sent a lovely silver tea pot and a kind letter to Miss Peasmarsh when the pretty lady married the nice curate; just after Easter it was, and they went to Italy for their honeymoon.	false	1909.32	1938.24	18.855705
